x,a,b,c,d
1,0.616055523741067,0.813444256241169,0.751891007261394,0.201697444046552
2,0.417125250020075,0.739437358131172,0.406147107584798,0.214425120036947
3,0.292132981312616,0.5180408657838,0.271764460467128,0.161848644881172
4,0.272589450652011,0.413519702381104,0.204018291155412,0.135688292070174
5,0.221668299043733,0.353426116226382,0.182313323488353,0.124141418150381
6,0.209829421727854,0.298586233599304,0.160151483381189,0.117507302588133
7,0.201209216278579,0.283554578032088,0.149432176849323,0.101332061450286
8,0.177675367715358,0.268419109916626,0.141119772823332,0.104753106025032
9,0.211858830963045,0.246062021806101,0.136158151696208,0.118376492929584
10,0.225427563348851,0.237218237673274,0.126910322226562,0.106726194332125
11,0.20875733995606,0.225991887294738,0.132157445044951,0.101636906485278
12,0.208305172352558,0.208746788678869,0.131606416163091,0.103452894530264
13,0.204449505649519,0.230879341960894,0.128583948505501,0.112604737748389
14,0.193704734706877,0.233303913550413,0.12933947455189,0.12106697371756
15,0.184585128237083,0.224347845201522,0.126443250973657,0.123022976805523
16,0.178413637423228,0.225163954954105,0.120804918292803,0.116327367838428
17,0.177592832559569,0.218796633861511,0.142476628730237,0.130352711067313
18,0.175861904371335,0.2066785882712,0.143883002356534,0.141355234060544
19,0.175917250563089,0.199335364165463,0.143285010607125,0.138985392314262
20,0.16831211333097,0.192824835122702,0.146665828547734,0.147882516636488
21,0.16812447638451,0.192755595303425,0.143240752069087,0.150596603902552
22,0.164166707013097,0.190285682786427,0.137378719305188,0.150570232289677
23,0.158279944458597,0.187411934635968,0.134201476031464,0.147895112544233
24,0.154910761087109,0.179676083737776,0.130954096134667,0.150210549037327
25,0.154057244943194,0.18004358022619,0.133820879114063,0.153602545792726
26,0.148831891815803,0.175507086281449,0.132439029371428,0.156129600932827
27,0.147859733134605,0.171800447199283,0.131408358585995,0.155671444176303
28,0.146539559613063,0.168583162757086,0.127524977804792,0.151557145646297
29,0.143165597383618,0.166751188291632,0.129483728797926,0.147878673980746
30,0.141564079576011,0.16250205138096,0.126008570716055,0.146122747414862
31,0.141398197842422,0.161983639791278,0.12453970160687,0.141685708810593
32,0.137230473266503,0.15985783478872,0.12269851584264,0.140833000737522
33,0.139683563265186,0.157693640214606,0.122081335114942,0.142816779346025
34,0.136315995668638,0.156332798556628,0.120247866180303,0.138829539603413
35,0.133446111092529,0.154943463104038,0.120654573256104,0.134876176327469
36,0.133391750291538,0.151545226219814,0.119165872802956,0.134562878695799
37,0.13410563955062,0.15411955499445,0.118697921787511,0.131383927781544
38,0.131515875352287,0.150318763834015,0.117970468235131,0.132955842723745
39,0.132536145136251,0.148908680133428,0.117240331110039,0.135061437882478
40,0.131729236975805,0.148153338199823,0.115571971815871,0.135297091709995
41,0.128735678780153,0.14862602326099,0.118526172479207,0.140862741726345
42,0.12752623606182,0.146951968617336,0.116598157925464,0.142686488743415
43,0.126425098341466,0.149286931391688,0.115928795817121,0.145198771895845
44,0.12376963329671,0.14735072117725,0.115592502397093,0.146685442022798
45,0.122824665010527,0.145619881580042,0.115623057522485,0.149160696894531
46,0.122061949415581,0.144734967501218,0.115098090403942,0.146341198144116
47,0.120007228493243,0.143471750509113,0.116909287153521,0.147526053661722
48,0.118225940695997,0.140945470822037,0.115339686253918,0.147738171824549
49,0.117406602099214,0.141383264346806,0.114498863866078,0.147337128880929
50,0.115325275514043,0.141046256657058,0.114140349642028,0.145316085489449
51,0.115514854243911,0.13992251087179,0.113363073947039,0.142856451362527
52,0.113680422431501,0.13902290082881,0.111771312824293,0.143237297196854
53,0.112467299877097,0.137856544902262,0.112661586361283,0.144251630401554
54,0.111928192228519,0.135482818334882,0.112550267191673,0.144809140741207
55,0.112853691720102,0.136785721899357,0.112244505717618,0.143697621651023
56,0.110975583510835,0.135478186316927,0.111450517344775,0.14167451627047
57,0.111835586332793,0.135369519171083,0.110715958383945,0.141907235088732
58,0.110370163943067,0.13497050506429,0.108838915763511,0.140663722384737
59,0.109132516205708,0.135380339827435,0.110508601201433,0.142409428363892
60,0.109100275615742,0.133448923001947,0.109337404750836,0.143524024812469
61,0.108302104140905,0.136022080257631,0.109738607961436,0.142734124874032
62,0.107407653396095,0.134952709487932,0.109535936638025,0.141443789887088
63,0.106330723836289,0.133932818393193,0.110149950265595,0.141208571503603
64,0.105315308937926,0.133998123649008,0.108994012679497,0.140614472021354
65,0.104404503223257,0.133098652546169,0.111722449358485,0.142032300192493
66,0.102964369385406,0.132366830932402,0.110597981533276,0.142151196920203
67,0.102430509831439,0.131554972615411,0.110065461995019,0.14060966890617
68,0.100990604274831,0.130338023502297,0.110353969140129,0.14005675696968
69,0.100712762288577,0.129834286983472,0.109637868976213,0.138094595535165
70,0.100619692639395,0.128571421546988,0.109380963991459,0.136423970927833
71,0.0996100719333112,0.127704884072545,0.108793361543539,0.136584657440364
72,0.0988780674271353,0.12600503043699,0.107854433591926,0.136510305793829
73,0.0984214141734328,0.124314595448664,0.107749772042296,0.135922283685487
